DOLocationID,PULocationID,RatecodeID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
75,113,1,2.5,3.0,16.0,0.3,0.5,2,1,N,2.97,0.0,22.77,2021-01-01 00:56:22,2021-01-01 00:41:19,5.1,2021-01-01 13:11:19,2021-01-01 13:26:22,903
233,48,1,2.5,3.0,12.0,0.3,0.5,2,1,N,1.58,0.0,17.38,2021-01-01 00:26:40,2021-01-01 00:11:44,2.7,2021-01-01 12:41:44,2021-01-01 12:56:40,896
236,141,1,2.5,3.0,5.5,0.3,0.5,2,1,N,1.85,0.0,11.15,2021-01-01 00:56:24,2021-01-01 00:52:46,1.2,2021-01-01 13:22:46,2021-01-01 13:26:24,218
41,166,1,0.0,0.5,7.0,0.3,0.5,1,2,N,0.0,0.0,8.3,2021-01-01 00:13:47,2021-01-01 00:06:58,1.2,2021-01-01 12:36:58,2021-01-01 12:43:47,409
211,43,1,2.5,3.0,21.0,0.3,0.5,1,1,N,7.4,0.0,32.2,2021-01-01 00:44:31,2021-01-01 00:22:56,6.3,2021-01-01 12:52:56,2021-01-01 13:14:31,1295
79,113,1,2.5,3.0,6.0,0.3,0.5,2,1,N,1.95,0.0,11.75,2021-01-01 00:54:36,2021-01-01 00:49:04,1,2021-01-01 13:19:04,2021-01-01 13:24:36,332
4,238,1,2.5,3.0,17.5,0.3,0.5,1,1,N,2.0,0.0,23.3,2021-01-01 00:37:30,2021-01-01 00:24:14,5.6,2021-01-01 12:54:14,2021-01-01 13:07:30,796
249,114,1,2.5,3.0,6.0,0.3,0.5,2,1,N,2.9,0.0,12.7,2021-01-01 00:51:56,2021-01-01 00:46:03,.80,2021-01-01 13:16:03,2021-01-01 13:21:56,353
141,263,1,2.5,3.0,4.5,0.3,0.5,1,1,N,1.7,0.0,10.0,2021-01-01 00:19:41,2021-01-01 00:17:25,.90,2021-01-01 12:47:25,2021-01-01 12:49:41,136
233,100,1,2.5,3.0,6.0,0.3,0.5,1,1,N,2.45,0.0,12.25,2021-01-01 01:03:40,2021-01-01 00:57:55,1,2021-01-01 13:27:55,2021-01-01 13:33:40,345
237,142,1,2.5,3.0,6.5,0.3,0.5,1,2,N,0.0,0.0,10.3,2021-01-01 00:50:23,2021-01-01 00:45:41,1.4,2021-01-01 13:15:41,2021-01-01 13:20:23,282
141,142,1,2.5,3.0,10.0,0.3,0.5,1,1,N,2.75,0.0,16.55,2021-01-01 00:26:12,2021-01-01 00:16:17,2.4,2021-01-01 12:46:17,2021-01-01 12:56:12,595
143,114,1,2.5,3.0,14.5,0.3,0.5,2,1,N,3.65,0.0,21.95,2021-01-01 00:33:47,2021-01-01 00:17:53,3.9,2021-01-01 12:47:53,2021-01-01 13:03:47,954
233,230,5,0.0,0.0,40.0,0.3,0.0,2,1,N,0.0,0.0,40.3,2021-01-01 00:46:53,2021-01-01 00:17:57,10.4,2021-01-01 12:47:57,2021-01-01 13:16:53,1736
260,137,1,2.5,3.0,25.5,0.3,0.5,1,1,N,5.85,0.0,35.15,2021-01-01 01:19:14,2021-01-01 00:49:47,6.4,2021-01-01 13:19:47,2021-01-01 13:49:14,1767
262,170,1,2.5,3.0,9.5,0.3,0.5,2,1,N,2.65,0.0,15.95,2021-01-01 00:21:41,2021-01-01 00:14:12,2.8,2021-01-01 12:44:12,2021-01-01 12:51:41,449
137,79,1,2.5,3.0,6.5,0.3,0.5,1,1,Y,2.55,0.0,12.85,2021-01-01 00:37:59,2021-01-01 00:32:34,1.5,2021-01-01 13:02:34,2021-01-01 13:07:59,325
114,148,1,2.5,3.0,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 00:35:28,2021-01-01 00:32:00,.90,2021-01-01 13:02:00,2021-01-01 13:05:28,208
130,100,1,2.5,3.0,41.5,0.3,0.5,1,3,N,0.0,0.0,45.3,2021-01-01 01:20:18,2021-01-01 00:46:41,14,2021-01-01 13:16:41,2021-01-01 13:50:18,2017
211,211,1,2.5,3.0,4.5,0.3,0.5,2,1,N,1.65,0.0,9.95,2021-01-01 00:43:53,2021-01-01 00:40:07,.40,2021-01-01 13:10:07,2021-01-01 13:13:53,226
79,234,1,2.5,3.0,6.5,0.3,0.5,2,2,N,0.0,0.0,10.3,2021-01-01 00:59:30,2021-01-01 00:52:55,1.1,2021-01-01 13:22:55,2021-01-01 13:29:30,395
90,138,1,2.5,3.0,27.5,0.3,0.5,1,2,N,0.0,6.12,37.42,2021-01-01 00:19:57,2021-01-01 00:00:36,9.4,2021-01-01 12:30:36,2021-01-01 12:49:57,1161
211,234,1,2.5,3.0,8.0,0.3,0.5,3,1,N,1.0,0.0,12.8,2021-01-01 00:34:43,2021-01-01 00:25:18,1.4,2021-01-01 12:55:18,2021-01-01 13:04:43,565
262,141,1,2.5,3.0,5.5,0.3,0.5,1,1,N,1.85,0.0,11.15,2021-01-01 00:51:52,2021-01-01 00:47:35,1.1,2021-01-01 13:17:35,2021-01-01 13:21:52,257
229,170,1,2.5,3.0,7.0,0.3,0.5,2,2,N,0.0,0.0,10.8,2021-01-01 00:14:33,2021-01-01 00:07:22,1.3,2021-01-01 12:37:22,2021-01-01 12:44:33,431
262,140,1,2.5,3.0,5.0,0.3,0.5,1,1,N,1.76,0.0,10.56,2021-01-01 00:20:59,2021-01-01 00:18:19,1.1,2021-01-01 12:48:19,2021-01-01 12:50:59,160
87,262,1,2.5,3.0,20.5,0.3,0.5,2,1,Y,4.85,0.0,29.15,2021-01-01 00:35:36,2021-01-01 00:23:37,6.9,2021-01-01 12:53:37,2021-01-01 13:05:36,719
24,237,1,2.5,3.0,14.5,0.3,0.5,2,1,Y,3.66,0.0,21.96,2021-01-01 01:10:32,2021-01-01 00:53:16,3.3,2021-01-01 13:23:16,2021-01-01 13:40:32,1036
230,234,1,2.5,3.0,9.5,0.3,0.5,1,1,N,2.65,0.0,15.95,2021-01-01 00:29:08,2021-01-01 00:15:33,1,2021-01-01 12:45:33,2021-01-01 12:59:08,815
186,186,1,2.5,3.0,3.5,0.3,0.5,1,2,N,0.0,0.0,7.3,2021-01-01 00:56:53,2021-01-01 00:54:23,.20,2021-01-01 13:24:23,2021-01-01 13:26:53,150
186,68,1,2.5,3.0,4.5,0.3,0.5,1,4,N,0.0,0.0,8.3,2021-01-01 00:14:20,2021-01-01 00:06:20,.50,2021-01-01 12:36:20,2021-01-01 12:44:20,480
233,186,1,2.5,3.0,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:56:03,2021-01-01 00:47:09,1.6,2021-01-01 13:17:09,2021-01-01 13:26:03,534
75,75,5,0.0,0.0,10.0,0.3,0.0,2,1,Y,0.0,0.0,10.3,2021-01-01 00:01:40,2021-01-01 00:01:19,.00,2021-01-01 12:31:19,2021-01-01 12:31:40,21
35,132,1,0.0,0.5,26.0,0.3,0.5,1,2,Y,0.0,0.0,27.3,2021-01-01 01:02:43,2021-01-01 00:43:32,8.5,2021-01-01 13:13:32,2021-01-01 13:32:43,1151
33,137,1,2.5,3.0,18.0,0.3,0.5,2,1,N,6.5,0.0,28.3,2021-01-01 00:26:56,2021-01-01 00:13:46,6.1,2021-01-01 12:43:46,2021-01-01 12:56:56,790
203,79,1,2.5,3.0,54.5,0.3,0.5,1,2,Y,0.0,0.0,58.3,2021-01-01 01:01:30,2021-01-01 00:30:03,19.9,2021-01-01 13:00:03,2021-01-01 13:31:30,1887
224,107,1,2.5,3.0,6.5,0.3,0.5,1,1,Y,0.0,0.0,10.3,2021-01-01 00:31:38,2021-01-01 00:24:13,.90,2021-01-01 12:54:13,2021-01-01 13:01:38,445
141,87,1,2.5,3.0,19.0,0.3,0.5,1,1,N,4.55,0.0,27.35,2021-01-01 00:59:51,2021-01-01 00:47:07,6.2,2021-01-01 13:17:07,2021-01-01 13:29:51,764
43,237,1,2.5,3.0,7.5,0.3,0.5,1,1,N,1.5,0.0,12.8,2021-01-01 00:33:54,2021-01-01 00:27:09,1.6,2021-01-01 12:57:09,2021-01-01 13:03:54,405
143,43,1,2.5,3.0,7.0,0.3,0.5,3,4,N,0.0,0.0,10.8,2021-01-01 00:42:43,2021-01-01 00:36:34,1.2,2021-01-01 13:06:34,2021-01-01 13:12:43,369
229,100,1,2.5,3.0,7.0,0.3,0.5,1,2,N,0.0,0.0,10.8,2021-01-01 00:07:28,2021-01-01 00:01:09,1.4,2021-01-01 12:31:09,2021-01-01 12:37:28,379
142,263,1,2.5,3.0,6.5,0.3,0.5,1,1,N,3.05,0.0,13.35,2021-01-01 00:47:27,2021-01-01 00:42:59,1.5,2021-01-01 13:12:59,2021-01-01 13:17:27,268
163,142,1,2.5,3.0,6.0,0.3,0.5,4,2,N,0.0,0.0,9.8,2021-01-01 00:56:19,2021-01-01 00:50:53,1.1,2021-01-01 13:20:53,2021-01-01 13:26:19,326
141,163,1,2.5,3.0,6.5,0.3,0.5,1,2,N,0.0,0.0,10.3,2021-01-01 01:04:16,2021-01-01 00:58:49,1.3,2021-01-01 13:28:49,2021-01-01 13:34:16,327
48,48,1,2.5,3.0,4.5,0.3,0.5,1,3,N,0.0,0.0,8.3,2021-01-01 00:24:17,2021-01-01 00:19:47,.50,2021-01-01 12:49:47,2021-01-01 12:54:17,270
140,230,1,2.5,3.0,10.5,0.3,0.5,2,2,N,0.0,0.0,14.3,2021-01-01 00:50:51,2021-01-01 00:40:12,2.7,2021-01-01 13:10:12,2021-01-01 13:20:51,639
100,162,1,2.5,3.0,8.5,0.3,0.5,1,3,N,0.0,0.0,12.3,2021-01-01 01:07:02,2021-01-01 00:58:30,1.7,2021-01-01 13:28:30,2021-01-01 13:37:02,512
17,230,1,2.5,3.0,35.0,0.3,0.5,1,1,N,7.75,0.0,46.55,2021-01-01 00:58:16,2021-01-01 00:24:20,11.1,2021-01-01 12:54:20,2021-01-01 13:28:16,2036
17,140,1,2.5,3.0,29.0,0.3,0.5,1,1,N,5.0,6.12,43.92,2021-01-01 00:48:47,2021-01-01 00:22:50,9.5,2021-01-01 12:52:50,2021-01-01 13:18:47,1557
107,164,1,2.5,3.0,7.5,0.3,0.5,1,1,N,2.8,0.0,14.1,2021-01-01 00:39:56,2021-01-01 00:32:30,1.5,2021-01-01 13:02:30,2021-01-01 13:09:56,446
229,224,1,2.5,3.0,7.5,0.3,0.5,3,1,N,3.0,0.0,14.3,2021-01-01 00:47:49,2021-01-01 00:42:38,2,2021-01-01 13:12:38,2021-01-01 13:17:49,311
263,263,1,2.5,3.0,4.5,0.3,0.5,1,2,N,0.0,0.0,8.3,2021-01-01 00:57:15,2021-01-01 00:53:26,.50,2021-01-01 13:23:26,2021-01-01 13:27:15,229
230,100,1,2.5,3.0,14.5,0.3,0.5,2,1,N,3.65,0.0,21.95,2021-01-01 00:56:13,2021-01-01 00:33:19,1.8,2021-01-01 13:03:19,2021-01-01 13:26:13,1374
182,74,1,0.0,0.0,22.2,0.3,0.5,1,1,N,0.0,0.0,23.0,2021-01-01 00:41:34,2021-01-01 00:25:47,.00,2021-01-01 12:55:47,2021-01-01 13:11:34,947
48,100,1,2.5,3.0,3.5,0.3,0.5,1,2,N,0.0,0.0,7.3,2021-01-01 00:36:29,2021-01-01 00:34:14,.20,2021-01-01 13:04:14,2021-01-01 13:06:29,135
145,75,1,2.5,3.0,12.0,0.3,0.5,1,2,N,0.0,0.0,15.8,2021-01-01 00:15:51,2021-01-01 00:07:34,3.8,2021-01-01 12:37:34,2021-01-01 12:45:51,497
262,161,1,2.5,3.0,8.5,0.3,0.5,1,1,N,2.0,0.0,14.3,2021-01-01 00:30:57,2021-01-01 00:23:50,2.2,2021-01-01 12:53:50,2021-01-01 13:00:57,427
233,262,1,2.5,3.0,9.5,0.3,0.5,1,1,N,2.2,0.0,15.5,2021-01-01 00:44:16,2021-01-01 00:35:26,2.2,2021-01-01 13:05:26,2021-01-01 13:14:16,530
233,233,1,2.5,3.0,4.5,0.3,0.5,0,1,N,2.0,0.0,10.3,2021-01-01 00:47:58,2021-01-01 00:45:06,.80,2021-01-01 13:15:06,2021-01-01 13:17:58,172
168,170,1,2.5,3.0,17.5,0.3,0.5,1,2,N,0.0,0.0,21.3,2021-01-01 01:03:50,2021-01-01 00:52:30,5.6,2021-01-01 13:22:30,2021-01-01 13:33:50,680
61,74,1,0.0,0.0,45.08,0.3,0.5,1,1,N,0.0,6.12,52.0,2021-01-01 00:38:32,2021-01-01 00:03:37,.00,2021-01-01 12:33:37,2021-01-01 13:08:32,2095
166,143,1,2.5,3.0,11.5,0.3,0.5,3,2,N,0.0,0.0,15.3,2021-01-01 00:23:46,2021-01-01 00:09:30,2.3,2021-01-01 12:39:30,2021-01-01 12:53:46,856
142,151,1,2.5,3.0,9.0,0.3,0.5,1,1,N,2.5,0.0,15.3,2021-01-01 00:38:45,2021-01-01 00:28:48,1.6,2021-01-01 12:58:48,2021-01-01 13:08:45,597
107,142,1,2.5,3.0,12.5,0.3,0.5,1,1,N,4.0,0.0,20.3,2021-01-01 00:56:34,2021-01-01 00:42:13,3.2,2021-01-01 13:12:13,2021-01-01 13:26:34,861
137,230,1,2.5,3.0,11.5,0.3,0.5,1,1,N,3.05,0.0,18.35,2021-01-01 00:41:01,2021-01-01 00:28:01,2.8,2021-01-01 12:58:01,2021-01-01 13:11:01,780
170,141,1,2.5,3.0,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:15:29,2021-01-01 00:11:33,1.4,2021-01-01 12:41:33,2021-01-01 12:45:29,236
229,142,1,2.5,3.0,16.5,0.3,0.5,2,1,N,6.05,0.0,26.35,2021-01-01 00:54:17,2021-01-01 00:33:30,3.8,2021-01-01 13:03:30,2021-01-01 13:24:17,1247
233,229,1,2.5,3.0,4.0,0.3,0.5,1,1,N,1.5,0.0,9.3,2021-01-01 01:01:00,2021-01-01 00:58:26,.50,2021-01-01 13:28:26,2021-01-01 13:31:00,154
143,239,1,2.5,3.0,4.0,0.3,0.5,1,1,N,2.3,0.0,10.1,2021-01-01 00:23:07,2021-01-01 00:20:49,.50,2021-01-01 12:50:49,2021-01-01 12:53:07,138
68,143,1,2.5,3.0,9.5,0.3,0.5,1,1,N,4.7,0.0,18.0,2021-01-01 00:34:32,2021-01-01 00:23:52,2,2021-01-01 12:53:52,2021-01-01 13:04:32,640
239,148,1,2.5,3.0,19.0,0.3,0.5,2,2,N,0.0,0.0,22.8,2021-01-01 01:14:24,2021-01-01 00:54:50,5.7,2021-01-01 13:24:50,2021-01-01 13:44:24,1174
141,230,1,2.5,2.5,12.0,0.3,0.5,2,1,N,3.8,0.0,19.1,2021-01-01 00:30:50,2021-01-01 00:14:33,2.4,2021-01-01 12:44:33,2021-01-01 13:00:50,977
229,237,1,2.5,2.5,10.0,0.3,0.5,1,1,N,2.66,0.0,15.96,2021-01-01 00:57:27,2021-01-01 00:45:30,2.4,2021-01-01 13:15:30,2021-01-01 13:27:27,717
94,249,1,2.5,3.0,37.5,0.3,0.5,1,2,N,0.0,0.0,41.3,2021-01-01 00:32:33,2021-01-01 00:01:49,12.4,2021-01-01 12:31:49,2021-01-01 13:02:33,1844
7,48,1,2.5,3.0,19.0,0.3,0.5,3,2,N,0.0,0.0,22.8,2021-01-01 01:17:04,2021-01-01 00:56:20,5.4,2021-01-01 13:26:20,2021-01-01 13:47:04,1244
68,48,1,2.5,3.0,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:44:00,2021-01-01 00:37:20,1,2021-01-01 13:07:20,2021-01-01 13:14:00,400
18,100,1,2.5,3.0,37.0,0.3,0.5,1,2,N,0.0,0.0,40.8,2021-01-01 01:27:41,2021-01-01 00:56:04,"",2021-01-01 13:26:04,2021-01-01 13:57:41,1897
189,170,1,2.5,3.0,19.5,0.3,0.5,1,2,"",0.0,0.0,23.3,2021-01-01 00:51:55,2021-01-01 00:32:13,5.2,2021-01-01 13:02:13,2021-01-01 13:21:55,1182
140,263,1,2.5,3.0,5.0,0.3,0.5,1,1,N,2.2,0.0,11.0,2021-01-01 00:54:31,2021-01-01 00:51:38,.90,2021-01-01 13:21:38,2021-01-01 13:24:31,173
170,48,1,2.5,3.0,7.5,0.3,0.5,2,3,N,0.0,0.0,11.3,2021-01-01 00:34:57,2021-01-01 00:25:56,1.4,2021-01-01 12:55:56,2021-01-01 13:04:57,541
82,260,1,0.0,0.5,5.0,0.3,0.5,1,2,N,0.0,0.0,6.3,2021-01-01 00:51:10,2021-01-01 00:47:00,.80,2021-01-01 13:17:00,2021-01-01 13:21:10,250
141,230,1,2.5,3.0,12.0,0.3,0.5,1,1,Y,3.15,0.0,18.95,2021-01-01 00:34:51,2021-01-01 00:21:46,2.9,2021-01-01 12:51:46,2021-01-01 13:04:51,785
229,141,1,2.5,3.0,5.0,0.3,0.5,1,2,Y,0.0,0.0,8.8,2021-01-01 00:44:23,2021-01-01 00:41:41,1.1,2021-01-01 13:11:41,2021-01-01 13:14:23,162
236,163,1,2.5,3.0,8.5,0.3,0.5,2,1,N,2.45,0.0,14.75,2021-01-01 00:22:11,2021-01-01 00:13:05,1.8,2021-01-01 12:43:05,2021-01-01 12:52:11,546
190,107,1,2.5,3.0,20.5,0.3,0.5,1,1,N,6.05,0.0,30.35,2021-01-01 00:45:11,2021-01-01 00:23:38,5.7,2021-01-01 12:53:38,2021-01-01 13:15:11,1293
